id,game_version,rva,status,name,source,notes
1000,1.5.1164953,0x0071A5A4,verified,lua_pcall,kcdx-engine@c5e48db,"CryEngine-bundled Lua 5.1 lua_pcall(lua_State* L, int nargs, int nresults, int errfunc). __fastcall(rcx=L, edx=nargs, r8d=nresults, r9d=errfunc). kcdx engine hooks this in production via src/hooks.cpp:37 + 257; pattern '48 89 5C 24 ? 57 48 83 EC 40 33 C0 41 8B F8'."
1001,1.5.1164953,0x00667B24,verified,CGame_Update,kcdx-engine@c5e48db,"CGame::Update(haveFocus, updateFlags) — per-frame engine tick. __fastcall(rcx=IGame*, edx=haveFocus, r8d=updateFlags). kcdx engine hooks this in production via src/hooks.cpp:38 + 258. Main-thread by construction. Pattern is the 81-byte canonical CGame::Update prologue from yobson1."
1002,1.5.1164953,0x03993898,verified,luaL_loadfile,yobson1/kcd2lua@fbe0080,"luaL_loadfile(lua_State* L, const char* filename) -> int. __fastcall(rcx=L, rdx=filename). Called many times during boot as Scripts/**/*.lua load. Main thread. Live-verified by yobson1's shipping mod against KCD2 1.5. 50-byte pattern includes 0x240 stack-subtract literal."
1003,1.5.1164953,0x00865FB4,verified,CGame_per_frame_ui_pump,kcdx-test-cap03@c5e48db,"Per-tick UI/menu pump; direct callee of CGame::Update. __fastcall(rcx=this). Body has 5-iteration loop guarded by global flags; sets this->byte_at_0x2A2F. Used by test-plugins/cap-03-hook-lua_callback live-verified production. 25-byte sig is .text-unique; pattern '48 89 5C 24 08 48 89 74 24 10 57 48 83 EC 20 80 B9 C1 05 00 00 00 48 8B D9'."
1004,1.5.1164953,0x0056174C,verified,outfit_swap_callsite_aob,mempatch@v0.4,"Inner mid-function site for the outfit-swap-in-combat patch (offset +13 is the 'mov r14b, al' that becomes 'xor r14d, r14d'). NOT a function entry — site is in the middle of the player-action handler that calls IsInCombat. Live-verified by shipping mempatch-plugins/outfit-swap-in-combat and kcdx examples. 16-byte canonical AOB; consider context extension when used as a sole locator."
1005,1.5.1164953,0x00561745,verified,outfit_swap_callsite_context,mempatch@v0.4,"Same site as outfit_swap_callsite_aob (id 1004) extended 7 bytes upward to include the call-into-IsInCombat sequence ('mov rcx, [rax+0x90]; ...'). 23 bytes. Use as a more uniquely-positioned anchor when the 16-byte AOB feels too short."
1006,1.5.1164953,0x005605BC,verified,IsInCombat_callsite_26b,kcdx-test-comp02@c5e48db,"26-byte sig for the IsInCombat() callsite prologue: 'mov rax, [rcx+8]; mov rcx, [rax+0x90]; add rcx, 0x0B60; mov rax, [rcx]; call qword ptr [rax+8]; cmp al, 2'. Pattern '48 8B 41 08 48 8B 88 90 00 00 00 48 81 C1 60 0B 00 00 48 8B 01 FF 50 08 3C 02'. Used by kcdx/examples/conflict-test-{hook-on-hook,hook-on-patch,patch-on-hook} as their hook target. RVA stored is the pattern-hit position; function entry is at RVA-4 (consumers using this as a function-entry anchor apply offset = -4, as in comp-02-hook-on-patch and the conflict-test mods). Live-verified by Phase 4b.3 conflict-matrix live tests."
1007,1.5.1164953,0x00566040,verified,IsInCombat_callsite_with_stack_frame,kcdx-test-comp03@c5e48db,"30-byte sig prefixed with 'sub rsp, 0x28' — a different call site to the same IsInCombat() vtable method from a calling routine with its own stack frame. Pattern '48 83 EC 28 48 8B 41 08 48 8B 88 90 00 00 00 48 81 C1 60 0B 00 00 48 8B 01 FF 50 08 3C 01' ends in `3C 01` (cmp al, 1), NOT `3C 02` (cmp al, 2). The `3C 02` variant is id 1006 at RVA 0x005605BC — two distinct call sites in WHGame.dll invoking the same IsInCombat() vtable slot but checking different combat-state thresholds (1 vs 2). Used by test-plugins/comp-03-hook-on-hook-A and -B for first-wins testing. Live-verified."
1008,1.5.1164953,0x0086AD99,verified,gEnv_pConsole_mov_instruction,muyuanjin/kcd2db@22b3cd1,"The 'mov rcx, [rip+pConsole]' instruction inside the autoexec-executor function. RVA derived by muyuanjin's three-step resolver: (1) find 'exec autoexec.cfg' string in .rdata; (2) scan .text for any `48 8D 15 ? ? ? ?` LEA and check RIP-relative target == string address; (3) check 7 bytes preceding the matched LEA: if `4C 8B 92 18 01 00 00`, the MOV is at LEA-0x17 (V1.4+ layout, used by KCD2 1.5); else the MOV is at LEA-7 (older). pConsole_ptr_VA = MOV_VA + 7 + disp32(MOV+3..6); gEnv_VA = pConsole_ptr_VA - 0xA8. NOT a single-pattern AOB — must be resolved via the anchor (id 1011) at runtime. Live-verified by muyuanjin's shipping plugin against KCD2 1.4+. See _research/predecessor-sigs/muyuanjin-kcd2db/src/kcd2db.cpp."
1009,1.5.1164953,0x0492B8A8,verified,gEnv_pConsole,muyuanjin/kcd2db@22b3cd1,"Static pointer slot in .data: gEnv->pConsole. Read this 8-byte pointer to get IConsole*. RVA derived by following the RIP-relative disp32 from id 1008. Will move per game build — Address Library updates it. Subtract 0xA8 to get gEnv base (id 1010)."
